 ID            arrival time                                Transaction time                                          Transactionduration
124                   J2:10                                            okka                                                           2
933                   J2:07                                            okka                                                           2
549                   J2:07                                            okka                                                           2
454                   J2:07                                            okka                                                           2
731                   J2:07                                            okka                                                           2
670                   J2:07                                            okka                                                           2
840                   J2:07                                            okka                                                           2
135                   J2:07                                            okka                                                           2
607                   J2:07                                            okka                                                           2
972                   J2:07                                            okka                                                           2
649                   J2:07                                            okka                                                           2
902                   J2:07                                            okka                                                           2
971                   J2:07                                            okka                                                           2
173                   J2:07                                            okka                                                           2
218                   J2:07                                            okka                                                           2
963                   J2:07                                            okka                                                           2
671                   J2:07                                            okka                                                           2
49                   J2:07                                            okka                                                           2
258                   J2:07                                            okka                                                           2
203                   J2:07                                            okka                                                           2
423                   J2:07                                            okka                                                           2
580                   J2:07                                            okka                                                           2
887                   J2:07                                            okka                                                           2
970                   J2:07                                            okka                                                           2
654                   J2:07                                            okka                                                           2
370                   J2:07                                            okka                                                           2
247                   J2:07                                            okka                                                           2
550                   J2:07                                            okka                                                           2
393                   J2:07                                            okka                                                           2
344                   J2:07                                            okka                                                           2
304                   J2:07                                            okka                                                           2
988                   J2:07                                            okka                                                           2
651                   J2:07                                            okka                                                           2
839                   J2:07                                            okka                                                           2
114                   J2:07                                            okka                                                           2
678                   J2:07                                            okka                                                           2
334                   J2:07                                            okka                                                           2
879                   J2:07                                            okka                                                           2
554                   J2:07                                            okka                                                           2
558                   J2:07                                            okka                                                           2
112                   J2:07                                            okka                                                           2
738                   J2:07                                            okka                                                           2
19                   J2:07                                            okka                                                           2
295                   J2:07                                            okka                                                           2
684                   J2:07                                            okka                                                           2
809                   J2:07                                            okka                                                           2
49                   J2:07                                            okka                                                           2
907                   J2:07                                            okka                                                           2
87                   J2:07                                            okka                                                           2
720                   J2:07                                            okka                                                           2
689                   J2:07                                            okka                                                           2
105                   J2:07                                            okka                                                           2
433                   J2:07                                            okka                                                           2
41                   J2:07                                            okka                                                           2
33                   J2:07                                            okka                                                           2
412                   J2:07                                            okka                                                           2
253                   J2:07                                            okka                                                           2
864                   J2:07                                            okka                                                           2
381                   J2:07                                            okka                                                           2
805                   J2:07                                            okka                                                           2
223                   J2:07                                            okka                                                           2
465                   J2:07                                            okka                                                           2
124                   J2:07                                            okka                                                           2
747                   J2:07                                            okka                                                           2
450                   J2:07                                            okka                                                           2
971                   J2:07                                            okka                                                           2
626                   J2:07                                            okka                                                           2
836                   J2:07                                            okka                                                           2
150                   J2:07                                            okka                                                           2
103                   J2:07                                            okka                                                           2
359                   J2:07                                            okka                                                           2
600                   J2:07                                            okka                                                           2
518                   J2:07                                            okka                                                           2
459                   J2:07                                            okka                                                           2
877                   J2:07                                            okka                                                           2
930                   J2:07                                            okka                                                           2
776                   J2:07                                            okka                                                           2
361                   J2:07                                            okka                                                           2
524                   J2:07                                            okka                                                           2
925                   J2:07                                            okka                                                           2
312                   J2:07                                            okka                                                           2
576                   J2:07                                            okka                                                           2
501                   J2:07                                            okka                                                           2
566                   J2:07                                            okka                                                           2
706                   J2:07                                            okka                                                           2
175                   J2:07                                            okka                                                           2
723                   J2:07                                            okka                                                           2
544                   J2:07                                            okka                                                           2
